"collection1"
"Rank","Name","Net Worth","Source","Country of Citizenship","Age"
"#418","Samvel Karapetyan","$4 B","development","Russia","50"
"#418","Jan Kulczyk","$4 B","telecom, oil, beer","Poland","65"
"#418","Tom & Judy Love","$4 B","retail & gas stations","United States","78"
"#418","Mohamed Mansour","$4 B","diversified","Egypt","67"
"#418","Mitchell Rales","$4 B","manufacturing, investments","United States","59"
"#418","Wolfgang Reimann","$4 B","consumer goods","Germany","63"
"#418","Matthias Reimann-Andersen","$4 B","consumer goods","Germany","50"
"#418","Stefan Reimann-Andersen","$4 B","consumer goods","Germany","52"
"#418","Renate Reimann-Haas","$4 B","consumer goods","Germany","64"
"#418","J. Christopher Reyes","$4 B","food distribution","United States","61"
"#418","Jude Reyes","$4 B","food distribution","United States","60"
"#418","Edward Roski, Jr.","$4 B","real estate","United States","76"
"#418","Reinhold Schmieding","$4 B","medical devices","United States","60"
"#418","Jerry Speyer","$4 B","real estate","United States","75"
"#418","Friede Springer","$4 B","publishing","Germany","73"
"#418","Sun Guangxin","$4 B","diversified","China","52"
"#435","Riley Bechtel","$3.9 B","engineering, construction","United States","63"
"#435","Stephen Bechtel, Jr.","$3.9 B","engineering, construction","United States","90"
"#435","Ralph Dommermuth","$3.9 B","internet service provider","Germany","51"
"#435","Bernard Ecclestone","$3.9 B","Formula One","United Kingdom","85"
"#435","Nathan Kirsh","$3.9 B","retail, real estate","Swaziland","83"
"#435","Vikram Lal","$3.9 B","motorcycles","India","73"
"#435","Lars Larsen","$3.9 B","retail","Denmark","67"
"#435","Ronald Lauder","$3.9 B","Estee Lauder","United States","71"
"#435","George Lindemann","$3.9 B","investments","United States","79"
"#435","Niels Peter Louis-Hansen","$3.9 B","medical devices","Denmark","68"
"#435","Pankaj Patel","$3.9 B","pharmaceuticals","India","62"
"#435","Bernard (Barry) Sherman","$3.9 B","pharmaceuticals","Canada","73"
"#435","Shi Yuzhu","$3.9 B","online games, investments","China","53"
"#435","Jeffrey Skoll","$3.9 B","Ebay","United States","50"
"#435","Frederick Smith","$3.9 B","FedEx","United States","71"
"#435","Andreas von Bechtolsheim","$3.9 B","Google","Germany","60"
"#435","Wang Chuanfu","$3.9 B","batteries, autos","China","49"
"#452","Chung Eui-Sun","$3.8 B","logistics","South Korea","45"
"#452","Israel Englander","$3.8 B","hedge funds","United States","67"
"#452","Dmitry Kamenshchik","$3.8 B","airport","Russia","47"
"#452","Bernard Marcus","$3.8 B","Home Depot","United States","86"
"#452","Brijmohan Lall Munjal","$3.8 B","motorcycles","India","92"
"#452","Daniel Och","$3.8 B","hedge funds","United States","54"
"#452","Terrence Pegula","$3.8 B","natural gas","United States","64"
"#452","Isaac Perlmutter","$3.8 B","Marvel comics","United States","72"
"#452","Krit Ratanarak","$3.8 B","media, real estate","Thailand","69"
"#452","Samuel Yin","$3.8 B","diversified","Taiwan","65"
"#462","Vanich Chaiyawan","$3.7 B","insurance, beverages","Thailand","83"
"#462","Francis Choi","$3.7 B","real estate","Hong Kong","68"
"#462","Leon G. Cooperman","$3.7 B","hedge funds","United States","72"
"#462","Antonio Del Valle Ruiz","$3.7 B","chemicals","Mexico","77"
"#462","Francisco Ivens de Sa Dias Branco","$3.7 B","food production","Brazil","81"
"#462","Traudl Engelhorn","$3.7 B","pharmaceuticals/medical equipment","Germany","-"
"#462","Ursula Engelhorn","$3.7 B","pharmaceuticals/medical equipment","Germany","-"
"#462","Huang Wei","$3.7 B","real estate","China","56"
"#462","James Jannard","$3.7 B","sunglasses","United States","66"
"#462","Fredrik Lundberg","$3.7 B","real estate, investments","Sweden","64"
"#462","Gwendolyn Sontheim Meyer","$3.7 B","Cargill","United States","54"
"#462","Akira Mori","$3.7 B","real estate","Japan","79"
"#462","Theo Mueller","$3.7 B","dairy","Germany","75"
"#462","H. Ross Perot, Sr.","$3.7 B","computer services, real estate","United States","85"
"#462","Steven Rales","$3.7 B","manufacturing","United States","64"
"#462","John Sall","$3.7 B","software","United States","67"
"#462","Lynn Schusterman","$3.7 B","oil & gas, investments","United States","76"
"#462","Ronda Stryker","$3.7 B","medical equipment","United States","61"
"#462","Steven Udvar-Hazy","$3.7 B","aircraft leasing","United States","69"
"#481","Martin & Olivier Bouygues","$3.6 B","construction, media","France","-"
"#481","Gustavo Cisneros","$3.6 B","media","Venezuela","70"
"#481","Jim Davis","$3.6 B","New Balance","United States","72"
"#481","Archie Aldis Emmerson","$3.6 B","timberland, lumber mills","United States","86"
"#481","John Gandel","$3.6 B","shopping malls","Australia","81"
"#481","Diane Hendricks","$3.6 B","roofing","United States","68"
"#481","Antti Herlin","$3.6 B","elevators, escalators","Finland","58"
"#481","Jeremy Jacobs, Sr.","$3.6 B","sports concessions","United States","75"
"#481","Elizabeth Mohn","$3.6 B","media","Germany","74"
"#481","Igor Olenicoff","$3.6 B","real estate","United States","73"
"#481","Anthony Pratt","$3.6 B","manufacturing","Australia","55"
"#481","Qiu Guanghe","$3.6 B","apparel retail","China","64"
"#481","Walter Scott, Jr.","$3.6 B","utilities, telecom","United States","84"
"#481","Sheldon Solow","$3.6 B","real estate","United States","87"
"#481","Steven Spielberg","$3.6 B","Movies","United States","68"
"#481","Yitzhak Tshuva","$3.6 B","real estate","Israel","67"
"#497","Mohammed Al Issa","$3.5 B","investments","Saudi Arabia","90"
"#497","Rahel Blocher","$3.5 B","chemicals","Switzerland","39"
"#497","Chey Tae-Won","$3.5 B","computer services/telecoms","South Korea","54"
"#497","Edward DeBartolo, Jr.","$3.5 B","shopping centers","United States","69"
"#497","Andrei Guriev","$3.5 B","fertilizers","Russia","55"
"#497","Ingvar Kamprad","$3.5 B","Ikea","Sweden","89"
"#497","Iskander Makhmudov","$3.5 B","mining, metals, machinery","Russia","51"
"#497","Alain Merieux","$3.5 B","pharmaceuticals","France","77"
"#497","Pan Zhengmin","$3.5 B","electronics","China","45"
"#497","Michael Platt","$3.5 B","hedge funds","United Kingdom","47"
"#497","Viktor Rashnikov","$3.5 B","steel","Russia","67"
"#497","Haim Saban","$3.5 B","TV network, investments","United States","71"
"#497","Beny Steinmetz","$3.5 B","mining, diamonds, real estate","Israel","59"
"#497","Martin Viessmann","$3.5 B","heating equipment","Germany","62"
"#497","Zhang Changhong","$3.5 B","finance information service","China","57"
"#512","Brian Acton","$3.4 B","WhatsApp","United States","43"
"#512","Saif Al Ghurair","$3.4 B","diversified","United Arab Emirates","-"
"#512","Marc Benioff","$3.4 B","business software","United States","51"
"#512","John Doerr","$3.4 B","venture capital","United States","64"
"#512","Walter Faria","$3.4 B","beer","Brazil","60"
"#512","David Filo","$3.4 B","Yahoo","United States","49"
"#512","Christa Gelpke","$3.4 B","pharmaceuticals","Germany","-"
"#512","Masatoshi Ito","$3.4 B","retail","Japan","91"
"#512","Erich Kellerhals","$3.4 B","electronics retailer","Germany","76"
"#512","Suleiman Kerimov","$3.4 B","investments","Russia","49"
"#512","Mangal Prabhat Lodha","$3.4 B","real estate","India","59"
"#512","Magdalena Martullo-Blocher","$3.4 B","chemicals","Switzerland","46"
"#512","Clayton Mathile","$3.4 B","pet food","United States","74"
"#512","Anthony Pritzker","$3.4 B","hotels, investments","United States","54"
"#512","Jay Robert (J.B.) Pritzker","$3.4 B","hotels, investments","United States","50"
"#512","Julian Robertson, Jr.","$3.4 B","hedge funds","United States","83"
"#512","Kushal Pal Singh","$3.4 B","real estate","India","84"
"#512","Chee Chen Tung","$3.4 B","shipping","Hong Kong","73"
"#512","Wu Yajun","$3.4 B","real estate","China","51"
"#512","Steve Wynn","$3.4 B","casinos, hotels","United States","73"
"#512","Zhang Xin","$3.4 B","real estate","China","50"
"#533","Heinz-Georg Baus","$3.4 B","home improvement stores","Germany","81"
"#534","Austen Cargill, II.","$3.3 B","Cargill","United States","64"
"#534","James Cargill, II.","$3.3 B","Cargill","United States","66"
"#534","Isabel dos Santos","$3.3 B","investments","Angola","42"
"#534","Juan Carlos Escotet","$3.3 B","banking","Venezuela","56"
"#534","Dan Friedkin","$3.3 B","Toyota dealerships","United States","50"
"#534","Jiang Bin","$3.3 B","acoustic components","China","49"
"#534","Daryl Katz","$3.3 B","pharmacies","Canada","54"
"#534","Peter Kellogg","$3.3 B","investments","United States","73"
"#534","Li Zhongchu","$3.3 B","software","China","52"
"#534","Marianne Liebmann","$3.3 B","Cargill","United States","62"
"#534","Najib Mikati","$3.3 B","telecom","Lebanon","59"
"#534","Taha Mikati","$3.3 B","telecom","Lebanon","70"
"#534","Masahiro Miki","$3.3 B","retail","Japan","60"
"#534","Shigenobu Nagamori","$3.3 B","motors","Japan","71"
"#534","Axel Oberwelland","$3.3 B","candy","Germany","48"
"#534","Pang Kang","$3.3 B","soy sauce maker","China","59"
"#534","Michael Pieper","$3.3 B","kitchen appliances","Switzerland","69"

